IE_XML_ID;IE_NAME;IE_ACTIVE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_CODE;IP_PROP459
11147;Это реально стремно! На питбайке BSE PH-10 190 Zongshen в шаре смерти.;Y;"В этот раз мы решили отправиться в парк каскадеров - мастер панин и показать вам одну очень интересную каскадерскую и цирковую мото дисциплину - шар смерти или другими словами шар смелости.  На этой базе парка киноприключений устраивают  безумные трюки с техникой на шоу ""Мастер Панин - Русский форсаж"" и не только. Обязательно посмотрите, что они творят. Там и гонка на выживание, и мото шоу и фристайл, шоу каскадеров, биг футы, а также огненное шоу.
Но мы же питбайкеры и поэтому ехать в мото шаре будет Питбайк БСЕ на моторе Зонгшен 190сс на колесах 17/14 . Как оказалось питбайки всех марок - JMC, Kayo 125 140 , Motoland, Avantis, Regulmoto, Apollo rxf способны позволить райдеру сделать трюки на питбайках. В конце концов Антон из гоночный команды PITBIKELAND, который выступает на своем заряженном JMC 160 mxr 3.0 решил сам попробовать, что такое делать солнышко на мотоцикле. Это оказалось очень страшно, потому что мото падения это неотъемлемая часть этого трюка. В общем пока Дима Яструб покупает дешевый мотоцикл из Китая, Андрей Скутерец ушатывает свой питбайк, Виталий зеленый играет в прятки на скутерах, 
Samuil Pashyan рассказывают как школьники устраивают покатушки и прохваты на питбайках мы выходим из зоны комфорта и делаем для вас крутой мото контент.";text;eto-realno-stremno-na-pitbayke-bse-ph-10-190-zongshen-v-share-smerti;https://www.youtube.com/embed/v0SWM3IS8Aw
11148;Что будет если питбайкер сядет на эндуро? Обзор JMC 250 FR и JMC 250 FRR;Y;"В этом выпуске мы решили сравнить два эндуро-мотоцикла, которых полюбили многие райдеры в этом году: JMC 250 FR и JMC 250 FRR. Первая часть обзора прошла в нашем салоне, а тест мы провели на одном из наших прохватов. Байки тестил наш гонщик Антон, который до этого ездил только на питбайках, таких как JMC 125 MX, BSE 125 MX, Apollo RXF Freeride 140, YCF BIGY 150, JMC 160 PRO на двигателе Daytona 190, ну и конечно на своём JMC 160 MXR V3.0! И наверно многим питбайкерам интересно: легко ли будет ездить на эндурике после питбайка? Увидишь и услышишь в выпуске от лица Антохи ;) 
Ну а на самом прохвате у нас было много треша, бешеных участников, была даже авария питбайка с эндуриком! В следующий раз мы ждём и тебя на наших прохватах ;)";text;chto-budet-esli-pitbayker-syadet-na-enduro-obzor-jmc-250-fr-i-jmc-250-frr;https://www.youtube.com/embed/LB2_J8hhu8U
11150;Дешевле некуда! Обзор Regulmoto Athlete 250 и Ataki DR 250 Enduro;Y;"В этом выпуске мы сделаем обзор китайских бюджетных эндуро мотоциклов с воздушным охлаждением на моторе Zongshen 172 fmm. Что же лучше выбрать под свой рост, вес и стиль катания и конечно же кошелек? Regulmoto, Avantis, KAYO, BSE, WELS, JMC или ATAKI? Сегодня мы соберем из коробки эти две самые дешевые модели китайских мотоциклов, входящих в ТОП 5 доступных китайских кроссовых мотоциклов.
Также вы увидите тест-драйв главных участников обзора: Регулмото Атлет 250 с ПТС и Атаки ДР 250. Разберем сходства и различия между этими эндуриками: алюминиевые или стальные колеса, регулируемая или не регулируемая подвеска, пластик, толщина рулей, удобства посадки и прочие характеристики.
А заодно мы ответим на вопрос: какой кроссовый мотоцикл-воздушку взять для простых покатушек, а какой для эндуро и подойдет ли он для мотокросса?
Только ленивый блогер не сделал уже на обзор на эти байки и пока Андрей Скутерец покупает себе новый питбайк, Роман Курбатов заблудился в лесу и выбирается из последних сил, Просто пацан обкатывает свой новый бешенный питбайк за 1000$ и Дядя Жорик катает на ИЖ Планета Спорт на льду, мы не поленились и также сделал наш обзор.";text;deshevle-nekuda-obzor-regulmoto-athlete-250-i-ataki-dr-250-enduro;https://www.youtube.com/embed/51qxf3ztij8
11153;СВИДАНИЕ с красавицей на эндуро с ПТС. Поехали в лес на прохват;Y;Долгожданное продолжение проекта о мотоцикле с ПТС Regulmoto Aqua 250 Enduro на двигателе Зонгшен 172, который может получить звание лучший эндуро с ПТС 2020 года и самый продаваемый эндуро с ПТС. На этот раз Рушану наконец-то удалось поставить байк на учёт, в то время как у Андрея Скутерца и его Avantis 250 Enduro были с этим трудности. Затем он позвал девушку на свидание и они вдвоем поехали колесить по дорогам Москвы как делал это MotoNinja с красавицей которая держалась до последнего на его Suzuki. В Дзержинском карьере они умудрились застрять и упасть. А через некоторое время Рушан поехал на своём Регулмото 250 на прохват, который мы проводили с нашими подписчиками на разных питбайках и эндуриках: jmc 250 fr, jmc 250 frr, jmc 125, bse 125, kayo 125, ycf bigy 150, Kayo T6, были и японские кроссовые мотоциклы: Yamaha YZ-F 250, Kawasaki KX 250 и Honda CRF 250. На шоссе Рушан чуть не разбился на эндурике, но доехал до поля, где был старт прохвата и дальше началось самое весёлое! Началась грязь, все падали, чуть не утонули в броде. Было настоящее эндуро испытание для всех нас и особенно для мотора ZongShen 172.;text;svidanie-s-krasavitsey-na-enduro-s-pts-poekhali-v-les-na-prokhvat;https://www.youtube.com/embed/5b1wgPwie98&t=5s
11154;За что его любят? Эндурик GR2 Enduro Optimum;Y;"В этом выпуске мы сделаем обзор на китайский сотоцикл GR2 250 ENDURO OPTIMUM на моторе Zongshen 172 FMM воздушного охлаждения. Какой мотоцикл лучше купить в 2021 году? Под свой вес, рост и конечно же кошелёк: GR, Avantis, Regulmoto Athlete 250, BSE J1 250e, ZUUM PX 220, Avantis A2, BSE Z3, ZUUM PX 250, GR7 F250A, KAYO, JMC, BSE или ATAKI?
Сегодня мы пройдёмся по одному байку - воздушка ГР2 Эндуро Оптимум, который имеет полное право входить в ТОП 5 бюджетных китайских кроссовых мотоциклов. Чем он лучше остальных? Крепкой рамой, надёжным двигателем Зонгшен 172, толстостенным рулём, карбюратором НИББИ или же регулируемой подвеской?
Ну и не менее важный вопрос: подойдёт ли он для жёсткого эндуро или мотокросса?";text;za-chto-ego-lyubyat-endurik-gr2-enduro-optimum;https://www.youtube.com/embed/fJVYdUZj8WE
11155;Эндурик GR8 250 реально топчик? 2Т и 4Т версии;Y;"В этом выпуске мы сделаем обзор на самый топовый китайский четырехтактный эндуро мотоцикл ГР8 на двигателе ZongShen 172 fmm и китайский мотик на двухтактном двигателе. Какой мотоцикл для эндуро лучше взять в 2021 году? Какой мотик выбрать новичку? Что взять на 172 зонгшене? На что пересесть после питбайка? Regulmoto Aqua Enduro 250, Avantis Enduro 250, ZUUM CR250 CB, двухтактный Koshine 85, Kayo T4 с птс, BRZ 150 2T, GR8 F250L 2T или же GR8 F250A Optimum Enduro?
Мы выбрали ГР8 Эндуро Оптимум 250 на двигателе воздушного охлаждения Зонгшен 172. GR8 лучше чем Regulmoto или ZUUM? Что в нём такого? Крепкая рама? Регулируемая подвеска, лучший карбюратор НИББИ 28, фрезерованные детали для эндуро, большой ход вилки или тем, что он самый красивый мотоцикл?
И не мало важные вопросы: GR8 подойдёт для хард эндуро, жёстких прохватов или для мотокросса? Можно ли на нем поехать на самую известную эндуро гонку Rumaniacs или же Руманьякс не для китайcких двухтактников?
В этом вопросе не разобрался только самый ленивый мото блогер. Андрей Ыть уже давно это сделал, Маликов из HARD ENDURO гоняет на своём КТМ, Moto Life Enduro считает что лучший китайский мотоцикл на моторе 177 для эндуро это ZUUM CX300R, а Рома Курбатов гоняет на двухтактном китайском мотоцикле GR8 2Т в хард эндуро.
А что мы думаем о ГР8 на воздушке, узнаешь в этом выпуске!";text;endurik-gr8-250-realno-topchik-2t-i-4t-versii;https://www.youtube.com/embed/6qX1pmaYUTA
11157;Обзор GR7 Enduro Lite. Народный эндуро мотоцикл;Y;"В этом выпуске мы сделаем обзор на один из самых популярных китайских эндуро - мотоциклов ГР7 на двигателе ZongShen 172 fmm. Какой мотоцикл для эндуро лучше взять в 2021 году? Почему этот эндурик считают народным? Какой мотик выбрать новичку? Что взять из эндуриков за доступный бюджет? На что пересесть после питбайка? Jmc 250 FRR, Avantis Enduro 250, ZUUM CR250 CB, GR2 250 Optimum Enduro, GR8 250 Optimum Enduro, Kayo T2 250 с ПТС или же GR7 F250A-M Enduro LITE?
Мы выбрали ГР7 Эндуро Лайт 250, который считается китайской Хускварной, на двигателе воздушного охлаждения Зонгшен 172. GR7 лучше чем Regulmoto или ZUUM? Чем GR7 лучше Avantis?
Мы считаем, что GR7 F250A-M Enduro LITE один из самых доступных мотоциклов на двигателе Зонгшен 172 и карбюраторе НИББИ, на нём в стоке установлены регулируемые подвески, Алюминиевые колёса, светодиодная фара для эндуро, фрезерованная траверса.
И не мало важные вопросы: GR7 подойдет для хардэндуро? Жёстких прохватов или для мотокросса? Можно ли на нем поехать на самую известную эндуро гонку Rumaniacs или же Руманьякс не для китайcких двухтактников?
Давно пора разобраться в этом вопросе. ВШлеме это уже сделали, но среди дорожных мотоциклов. Moto Life Enduro считают, что KAYO T6 на двигателе 177 самый лучший Китайский эндуро мотоцикл, а что думаем мы о ГР7 на 172 воздушке, узнаешь в этом выпуске!";text;obzor-gr7-enduro-lite-narodnyy-enduro-mototsikl;https://www.youtube.com/embed/srWUORhhaU8
11158;Самый дешевый питбайк против YCF. Шаришь?;Y;"В этом выпуске мы делаем честный обзор на топовый питбайк YCF START F125 на двигателе YX125 (154FMI) и самый бюджетный питбайк FULL CREW 125 на двигателе ZongShen 125. Давайте же наконец разберёмся: Почему ЮЦФ делают такие дорогие питбайки и чем дорогой питбайк лучше дешевого? Ведь они все производятся в Китае, на всех стоит надёжный двигатель YX125 и качественная реплика японского карбюратора MIKUNI VM 22.
Сегодня рассмотрим из чего состоит каждый питбайк: регулируемая или нерегулируемая подвеска, алюминиевые или стальные колёса, алюминиевый руль pro taper или стальной, какие колёса лучше: 17/14 или 14/12? 
Андрей Скутерец купил себе питбайк за 57 косарей и он у него сломался. Неужели все китайский бюджетки ломаются? и Даже ATAKI START 140, на который делал обзор Dimas TTR? И можно ли на бюджетном китайском питбайке ездить на гонки или эндуро? С этим мы сегодня разберёмся
Также одни из главных вопросов: какой ТОП-5 китайских питбайков? FULL CREW 125 лучшая бюджетка? А что будет, если поехать на китайском питбайке на гонку? И какой вообще питбайк подойдёт новичку?
Сегодня мы жёстко пройдёмся по бюджетке и найдём все косяки питбайка, которые допустили при производстве.";text;samyy-deshevyy-pitbayk-protiv-ycf-sharish;https://www.youtube.com/embed/x3KgEFoPwJk
11750;НЕудачная мото шутка. Лучшее место для эндуро;Y;"Долгожданный выпуск с нашего осеннего крупного прохвата в Ленинских Горках!
Грязные покатушки на эндуро мотоциклах, жёсткое эндуро на питбайках и падения. Было много участников на питбайках разных брендов с двигателями yx125 и на китайских эндуриках на 172 моторе zongshen: jmc 250 frr, jmc fr 250, bse z1-150, motoland xt 250, regulmoto aqua enduro 250, kayo k1, avantis 250 enduro, bse z5, apollo rxf freeride 140, kayo 125, ycf bigy 125, wels 140, bse mx 125 и квадроциклы stels и cf moto.
Пощады участникам не было и мы им устроили настоящее хард эндуро. Прохват начали мы с песчаного карьера, где сначала улетели в кучу песка на байках, а дальше чуть не разбились на камнях. Получился один из самых опасных прохватов. Дальше мы поехали в леса, где были падения на питах, много трешовых моментов. Рушан улетел с обрыва на своём питбайке аполло 140 вместе с другими участниками. Среди участников были и начинающие и опытные райдеры на своих подготовленных к эндуро кроссовых мотоциклах как у Андрея Скутерца. Было много треша, грязи и падений, были все в эндуро! Ни один мотоблогер не устраивал такую жесть ;)";text;neudachnaya-moto-shutka-luchshee-mesto-dlya-enduro;https://www.youtube.com/embed/zMioyJeCAfc
11824;Эндуро с зарядкой? Что дальше? Обзор WELS MZK 250;Y;"В этом выпуске мы сделаем обзор на свежий аппарат от компании ВЕЛС - эндуро мотоцикл WELS MZK 250 на двигателе ZS 172 FMM. Заслужила ли эта яркая новинка внимания байкеров? Какие тут есть минусы? Для кого подойдёт этот мотоцикл? Соответствует ли этот аппарат по соотношению цена/качество? Насколько велика разница, когда пересаживаешься на мотоцикл после питбайка?
Мото новинка 2021 года Wels MZK 250 имеет очень внушительные комплектующие. Начиная от тросиков газа и сцепления NIBBI и заканчивая электронной приборной панелью! Мы узнаем, насколько все эти комплектующие органично работают вместе
Мы считаем, что WELS MZK 250 один из самых доступных мотоциклов на двигателе воздушного охлаждения Зонгшен 172 и карбюраторе НИББИ 28, на нём в стоке установлены регулируемые подвески, алюминиевые колёса, светодиодная фара для эндуро, фрезерованная траверса. 
И не мало важные вопросы: Велс подойдет для хардэндуро? Жёстких прохватов или для мотокросса? Можно ли на нем поехать на самую известную эндуро гонку Rumaniacs или же Руманьякс не для китайcких двухтактников? 
Давно пора разобраться в этих вопросах. Обязательно смотри видос, чтобы понять, что думаем мы о Велсе на 172 воздушке! И конечно же, добротный розыгрыш! Внимательно посмотри обзор и узнаешь условия для получения заветных призов!";text;enduro-s-zaryadkoy-chto-dalshe-obzor-wels-mzk-250;https://www.youtube.com/embed/Xjplkh8lbCo
11992;Бюджетный питбайк для школьника. Что купить в 2021 году?;Y;"В этом выпуске мы сделаем обзор на питбайки которые можно купить в 2021 году: BSE MX 125, APOLLO RFZ START, KAYO BASIC 125, KAYO CLASSIC 125, ATAKI START 140, WELS RT 125 и WELS RT 140. Все эти питбайки оснащены надёжными двигателями YX 125 и YX 140, карбюраторами NIBBI и MIKUNI, колёсами 17/14 для эндуро. Ну и давайте наконец ответим на главные вопросы: За сколько можно купить питбайк в 2021 году? Какой питбайк самый надёжный? Какой питбайк самый бюджетный? Чем отличается BSE от KAYO? Лучший питбайк для школьника? И нужна ли регулируемая подвеска на бюджетном питбайк?
Каждый питбайк хороший по-своему: на BSE и APOLLO гоняют по трекам, на KAYO и ATAKI эндурят в лесах. А можно ли жёстко эндурить на новинке 2020 года WELS RT 125?
Мы считаем, что БСЕ, КАЙО, АПОЛЛО и ВЕЛС самые популярные питбайки в России на двигателе YX 125 и карбюраторе НИББИ, алюминиевых колёсах 17/14 и со светодиодной фарой. И не мало важные вопросы: подойдут ли питбайки для хард эндуро? для жёстких прохватов или мотокросса? Можно ли на питбайке заявится на эндуро гонку? Не развалится ли он как пит Андрея Скутерца?
Обязательно смотри видос, в нём мы расскажем много интересного про бюджетные китайские питбайки!";text;byudzhetnyy-pitbayk-dlya-shkolnika-chto-kupit-v-2021-godu;https://www.youtube.com/embed/-80I-_N08JU
11993;Самые доступные питбайки REGULMOTO. PILOT 110, SEVEN 125, MEDALIST 150;Y;"В этом выпуске мы сделали обзор на свежие питбайки от компании Regulmoto - питбайк регулмото Pilot 110EA коробка полуавтомат на колёсах 12/10, Regulmoto SEVEN 125 на колёсах 17/14, а также самая старшая версия - Питбайк Regulmoto SEVEN MEDALIST 150E с более мощным мотором и рядом усовершенствований. Заслужили ли эти яркие новинки внимания байкеров? Какие тут есть минусы? Для кого подойдут каждый из этих питбайков? Соответствуют ли эти аппараты соотношению цена/качество? Смогли РЕГУЛЬМОТО доказать, что они сделали хорошие питбайки бюджетного сегмента?
Все из представленных сегодня аппаратов имеют хорошие комплектующие. Начиная с защиты машинки заднего тормоза у регульмото 110 и заканчивая радиатором масляного охлаждения на питбайке REGULMOTO 150! Мы узнаем, насколько все эти комплектующие органично работают вместе!
Мы считаем, что regulmoto с умом подошли к своим новинкам, сделав свои питбайки максимально яркими и привлекательными! Но без минусов тоже не обошлось, о них мы вам обязательно расскажем!
И не маловажные вопросы: Для кого создавалась эта серия питбайков? Смогут ли они бороться за любовь покупателя в условиях жёсткой конкуренции? Стоит ли доплачивать за более старшую версию питбайка?
Давно пора разобраться в этих вопросах. Обязательно смотри видос, чтобы понять, что мы думаем о регульмото в целом и об этих ярких питбайках в частности!";text;samye-dostupnye-pitbayki-regulmoto-pilot-110-seven-125-medalist-150;https://www.youtube.com/embed/jxxs7NrlVp0
