IE_NAME;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE
Обзор питбайков YCF модельного ряда 2019;Y;24.01.2024;;https://pitland.ru/upload/iblock/8ac/8aca465bae683c7785e9287b4df01721.jpg;;text;;;html;obzor-pitbaykov-ycf-modelnogo-ryada-2019
Питбайк Ленд отвечает на Ваши вопросы # 1;Y;24.01.2024;;https://pitland.ru/upload/iblock/63c/63c3251bac59275b2cce3e4ca03b1341.jpg;;text;;;html;pitbayk-lend-otvechaet-na-vashi-voprosy-1
Задымил мотор на питбайке. Как поменять поршень и ЦПГ?;Y;03.09.2019 09:15:00;;https://pitland.ru/upload/iblock/ad3/ad33617b4d7f1ec6a8868163c7a54774.JPG;;text;;;html;zadymil-motor-na-pitbayke-kak-pomenyat-porshen-i-tspg
Обзор питбайков и квадриков BSE 2020 - что нового???;Y;25.09.2019 11:13:00;;https://pitland.ru/upload/iblock/ff3/ff39d19be65298b03ab653032a45ede3.JPG;;text;;;html;obzor-pitbaykov-i-kvadrikov-bse-2020-chto-novogo-
ЧЁппер из питбайка- едем на СМОТРУ и замеряем максималку;Y;09.10.2019 21:26:00;;https://pitland.ru/upload/iblock/0d3/0d3fb37f7f940d970ed5d85eae83f095.jpeg;;text;;;html;chyepper-iz-pitbayka-edem-na-smotru-i-zameryaem-maksimalku
Собираем Питбайк мечты и дарим Подписчикам! Серия 1;Y;24.10.2019 08:16:00;;https://pitland.ru/upload/iblock/f9c/f9c97598865d3ec49d29b9a214efa941.jpeg;;text;;;html;sobiraem-pitbayk-mechty-i-darim-podpischikam-seriya-1
Питбайк или Эндуро мотоцикл? Вот в чём вопрос!;Y;24.01.2024;;https://pitland.ru/upload/iblock/ea2/ea286b424126382f8bc31725ec972cff.jpeg;;text;;;html;pitbayk-ili-enduro-mototsikl-vot-v-chyem-vopros
ЧЁРНАЯ ПЯТНИЦА В ПИТБАЙКЛЕНДЕ!;Y;24.01.2024;;https://pitland.ru/upload/iblock/5c7/5c7300c4d62edb0d5f5fb6ed7923f503.jpeg;;text;;;html;chyernaya-pyatnitsa-v-pitbayklende
Сравнение кроссовых шлемов. Дешевый VS Дорогой.;Y;24.01.2024;;https://pitland.ru/upload/iblock/690/6901b4de70aa6bff4e3062590eadadc5.jpeg;;text;;;html;sravnenie-krossovykh-shlemov-deshevyy-vs-dorogoy
Влипли с Питбайком мечты для Подписчиков. Сколько еще надо вложить денег в Ирбис за 15 тысяч?!;Y;23.12.2019 16:00:00;;https://pitland.ru/upload/iblock/89f/89f8344b191648d2a4773632caaf2215.jpeg;;text;;;html;vlipli-s-pitbaykom-mechty-dlya-podpischikov-skolko-eshche-nado-vlozhit-deneg-v-irbis-za-15-tysyach-
Старый ЯПОНЕЦ Kawasaki kx85 или новый КИТАЕЦ Koshine xn85. Кто первый заклинит?;Y;30.12.2019 16:00:00;;https://pitland.ru/upload/iblock/06a/06ac750567f7334f1d4062d004464efd.jpeg;;text;;;html;staryy-yaponets-kawasaki-kx85-ili-novyy-kitaets-koshine-xn85-kto-pervyy-zaklinit
Питбайк на гусенице и для дрифта. Что это?;Y;23.01.2020 18:26:00;;https://pitland.ru/upload/iblock/a6a/a6a889349884afe0cbbdf081512674bd.jpeg;;text;;;html;pitbayk-na-gusenitse-i-dlya-drifta-chto-eto
Питбайки PWR Racing. Честный обзор;Y;24.01.2024;;https://pitland.ru/upload/iblock/4af/4af66a0373f3fc47dd4e3fc115357c19.jpeg;;text;;;html;pitbayki-pwr-racing-chestnyy-obzor
Обзор и сравнение Kayo K4 | XMOTOS RACER PRO 250 | BSE Z5 | Avantis Enduro 250;Y;24.01.2024;;https://pitland.ru/upload/iblock/e59/e597f3fc7c4c27c2d46547edce302b13.jpeg;;text;;;html;obzor-i-sravnenie-kayo-k4-xmotos-racer-pro-250-bse-z5-avantis-enduro-250
Питбайк в 4 года?! Легко!;Y;22.04.2020 14:45:00;;https://pitland.ru/upload/iblock/298/2984a11d55f3380008f10aa12139f1fd.jpeg;;text;;;html;pitbayk-v-4-goda-legko
Обновленный Avantis HS8;Y;24.01.2024;;https://pitland.ru/upload/iblock/43a/9bh923bvu3bgwmhrpwqkhqzk4dlpr2dh.jpg;;text;https://pitland.ru/upload/iblock/6f4/8t7ox9o5yjk6d0xyvlsyj6xpde418phd.jpg;За счет легкой управляемости и плавного хода четырехколесный байк наилучшим образом подходит для внедорожной езды начинающих райдеров, возрастом от 5 до 15 лет.;html;obnovlennyy-avantis-hs8
Очередная новинка 2023 года BSE MX 125;Y;24.01.2024;;https://pitland.ru/upload/iblock/9b3/0po2z3cow1i9wvezfsho0eefm4ddrgqx.jpg;;text;https://pitland.ru/upload/iblock/923/vyg5zj1y0rfjtiey6i6j090cbbrem1ux.jpg;;html;ocherednaya-novinka-2023-goda-bse-mx-125
Скутер SYM ORBIT 50;Y;24.01.2024;;https://pitland.ru/upload/iblock/f88/0b4cwc8de07p7v3s81i0au63mnp0s9md.jpg;;text;https://pitland.ru/upload/iblock/cb0/41sdsm6m1gosu4tbbhrvjg9mgb8o81mr.jpg;;text;skuter-sym-orbit-50
Питбайк JMC 150 Enduro V3.0 17/14;Y;24.01.2024;;https://pitland.ru/upload/iblock/93a/li0fwuj4lwmo7rrauj9xil91xqks8m52.jpg;;text;https://pitland.ru/upload/iblock/093/xasxli9yk6rda5gbosba5p371deov8f0.jpg;;text;pitbayk-jmc-150-enduro-v3-0-17-14
"Диск 12""х3,00 передний аллюминий KAYO в сборе";Y;24.01.2024;;https://pitland.ru/upload/iblock/858/zius4o25vyxk5o8wb02v7xdv9q6sa2wv.jpg;;text;https://pitland.ru/upload/iblock/7e4/y57obvddu9xwhfykcomarhb3kljr34k0.jpg;;html;disk-12-kh3-00-peredniy-allyuminiy-kayo-v-sbore
Кроссовый мотоцикл BSE Z2 250e 21/18, roqvi green, 2023;Y;24.01.2024;;https://pitland.ru/upload/iblock/71b/2jzxlphpopcd0jk2udbgc1vhv0r84boc.jpg;;text;https://pitland.ru/upload/iblock/422/arvvrvlvylq1kcz4ksutw3cuv2jhv43p.jpg;;html;krossovyy-mototsikl-bse-z2-250e-21-18-roqvi-green-2023
Кроссовый мотоцикл BSE Z6 250e 21/18, Camo Green;Y;24.01.2024;;https://pitland.ru/upload/iblock/dbf/9eoagtwb21ju9n6937j4ovd79ubl5y7m.jpg;;text;https://pitland.ru/upload/iblock/b21/o7di4ecf48e1s0oi36jpz3kxhcom8od4.jpg;;html;krossovyy-mototsikl-bse-z6-250e-21-18-camo-green
Мотоцикл Avantis A8 250 (PR250/172FMM-5);Y;24.01.2024;;https://pitland.ru/upload/iblock/dfc/gcv7zylus9l6sjc8rt56hgd1o6y0xusa.jpg;;text;;;html;mototsikl-avantis-a8-250-pr250-172fmm-5
Защита шеи от компании LEATT;Y;24.01.2024;;https://pitland.ru/upload/iblock/14f/gkya1rnksrf4k2u17o97dn23mln0xvaz.jpg;;text;;;html;zashchita-shei-ot-kompanii-leatt
Скутер VENTO Smart III;Y;24.01.2024;;https://pitland.ru/upload/iblock/d49/ytd5p4kz8l9pwou3l4ej2x7dfvlz6v6w.jpg;;text;;;html;skuter-vento-smart-iii
PROGASI SUPER MAX 250 (21/18);Y;24.01.2024;;https://pitland.ru/upload/iblock/6c7/969io67ydh3gpqbssd7j8zy6k6925y1f.jpg;;text;;;html;progasi-super-max-250-21-18
Подборка самых опасных BSE PH125 AK47;Y;24.01.2024;;https://pitland.ru/upload/iblock/896/6xuuflxfwl2o0zkg6kena68t89ggtgs8.jpg;;text;;;html;podborka-samykh-opasnykh-bse-ph125-ak47
Кроссовый мотоцикл Hasky F5 250cc 21/18;Y;24.01.2024;;https://pitland.ru/upload/iblock/15e/on3j5itgv96w2l41urt3mjsv1g0h0x4a.jpg;;text;;;html;krossovyy-mototsikl-hasky-f5-250cc-21-18
Питбайк WELS RT 140 19/16;Y;24.01.2024;;https://pitland.ru/upload/iblock/52e/mp70ow03nm74drdw8oqt1ph6hs53rs2h.jpg;;text;;;html;pitbayk-wels-rt-140-19-16
Скутер Vento Retro;Y;24.01.2024;;https://pitland.ru/upload/iblock/92c/1g2y45w71d0goun4n2eabombsay9vcku.jpg;;html;;;html;skuter-vento-retro
Электрический питбайк ROCKOT;Y;24.01.2024;;https://pitland.ru/upload/iblock/5e1/07smdcevl25mlnyd3i6xgy4kty8tb0x0.jpg;;text;;;html;elektricheskiy-pitbayk-rockot
Кофр для квадроцикла GKA;Y;24.01.2024;;https://pitland.ru/upload/iblock/678/1grs21uds85c4xk7x0htryv0tjomzym0.jpg;;text;;;html;kofr-dlya-kvadrotsikla-gka
Кроссовый мотоцикл ROCKOT R11 Frost Flash 250;Y;24.01.2024;;https://pitland.ru/upload/iblock/f01/0pz4y6eig8elyn90q6a57fd4rf7rxopw.jpg;;text;;;html;krossovyy-mototsikl-rockot-r11-frost-flash-250
Кроссовый мотоцикл RACER X2;Y;24.01.2024;;https://pitland.ru/upload/iblock/f3a/z25pnzdub2nrt1hezbbfp05mw53s1vdw.jpg;;text;;;html;krossovyy-mototsikl-racer-x2
Кроссовые шлема AIROH;Y;24.01.2024;;https://pitland.ru/upload/iblock/106/5zap0x5m2o6amevu64mxped4f7ucmkll.jpg;;text;;;html;krossovye-shlema-airoh
Мотоцикл кроссовый - KAYO K1 250MX 21/18 172 FMM (2022г.);Y;24.01.2024;;https://pitland.ru/upload/iblock/ef8/30kl82rw257nb947qn1uf54f3xg1w9zx.jpg;;text;;;html;mototsikl-krossovyy-kayo-k1-250mx-21-18-172-fmm-2022g-
BSE T5 Black Twister;Y;24.01.2024;;https://pitland.ru/upload/iblock/60f/y4fs0y5un3420oatfg5p8cujhrut5iu9.JPG;;text;;;html;bse-t5-black-twister
Новинка этого сезона - К2R с мотором ZS 190!;Y;24.01.2024;;https://pitland.ru/upload/iblock/40f/qwoa0kwz5boi64i412gozy28p951i00n.jpg;;text;;;html;novinka-etogo-sezona-k2r-s-motorom-zs-190
K2R 250 EFC - продвинутый и доступный мотоцикл;Y;24.01.2024;;https://pitland.ru/upload/iblock/0b4/dkkdlll4sf7uaoobsf1px0lb29t5nbr0.jpg;;text;;;html;k2r-250-efc
ROCKOT GS 7 Tribute;Y;24.01.2024;;https://pitland.ru/upload/iblock/2e6/5dhnyq9fmt8u2gtmlyg4p5rkigvauzgc.jpg;;text;;;html;rockot-gs-7-tribute
Эндуро мотоцикл PROGASI RACE 300 WAVE (NB300) Purple/Yellow;Y;24.01.2024;;https://pitland.ru/upload/iblock/9bc/xqlstd5tuuwbb9rawqze87el8mfoo7fd.jpg;;text;;;html;enduro-mototsikl-progasi-race-300-wave-nb300-purple-yellow
Кроссовый мотоцикл BSE M2;Y;24.01.2024;;https://pitland.ru/upload/iblock/ed6/km542snjmmdja6kq3sevf99dxqnc2tu3.jpg;;text;;;html;krossovyy-mototsikl-bse-m2
Эндуро/кроссовый мотоцикл Progasi SUPER MAX 250 21/18 Yellow/White;Y;24.01.2024;;https://pitland.ru/upload/iblock/462/1f30t2el4bujbiedbywi2fcct9n23mjj.JPG;;text;;;html;enduro-krossovyy-mototsikl-progasi-super-max-250-21-18-yellow-white
Кроссовый мотоцикл K2R (К2Р) 300 EFC, Red/Black;Y;24.01.2024;;https://pitland.ru/upload/iblock/87b/w7p3go7kj27jrmx3t0ue9ybmu1g9029a.png;;html;;;html;krossovyy-mototsikl-k2r-k2r-300-efc-red-black
10 советов, чтобы твой питбайк служил долго.;Y;31.05.2018 17:56:00;;https://pitland.ru/upload/iblock/4c0/4c0af1b4bd40c295d25792eff046ecb0.jpg;;text;;;html;10-sovetov-chtoby-tvoy-pitbayk-sluzhil-dolgo
11 аксиом о питбайках;Y;31.05.2018 17:59:00;;https://pitland.ru/upload/iblock/b3e/b3e6d7a27fd4411f9c3b82442d2dd920.png;;text;;;html;11-aksiom-o-pitbaykakh
Натяжка и обслуживание цепи питбайка;Y;31.05.2018 18:04:00;;https://pitland.ru/upload/iblock/2d6/2d66985a37df156d929eb3ad43333a7b.png;;text;https://pitland.ru/upload/iblock/44a/44abc7a835cddedf12ad2a7e3bea5a5b.jpg;;html;natyazhka-i-obsluzhivanie-tsepi-pitbayka
Выбор женской экипировки;Y;15.03.2018;;https://pitland.ru/upload/iblock/e3c/e3c027ddb6e7779e97acff5f286ba208.jpg;;text;;;html;vybor-zhenskoy-ekipirovki
Как выбрать очки для мотоцикла;Y;24.01.2024;;https://pitland.ru/upload/iblock/1d1/b703oom4trs9usu8m9dynjx70madku0t.jpg;;text;;;html;kak-vybrat-ochki-dlya-mototsikla
Все самое важное о подготовке питбайка к новому мото-сезону;Y;24.01.2024;;https://pitland.ru/upload/iblock/c16/4o6w0xku50azr1it8n88w594uxljc8ql.jpg;;text;;;html;vse-samoe-vazhnoe-o-podgotovke-pitbayka-k-novomu-moto-sezonu
Мотоцикл для девушки: какой питбайк выбрать?;Y;24.01.2024;;https://pitland.ru/upload/iblock/3c0/ymqpbrbu8c65wjblb2zfl0czmkrr03xg.jpg;;text;;;html;mototsikl-dlya-devushki-kakoy-pitbayk-vybrat
Нужно ли менять масло после зимы?;Y;24.01.2024;;https://pitland.ru/upload/iblock/ef5/0x5il8xu69fpb2o9mccb80wo0ex88yz2.jpg;;text;https://pitland.ru/upload/iblock/f4a/aqp8njdlbvtxzuke5waqkslbbeaatpo6.jpg;;html;nuzhno-li-menyat-maslo-posle-zimy
Правила безопасности при езде на питбайке;Y;24.01.2024;;https://pitland.ru/upload/iblock/f4a/mwbfn9dd952j7kbin2ptu36jzx285ilz.jpg;;text;;;html;pravila-bezopasnosti-pri-ezde-na-pitbayke
BSE Z6 Neon Track: яркий выбор для гонок и путешествий;Y;24.01.2024;;https://pitland.ru/upload/iblock/61a/sedizl1c1dk1q0zhnn3eq51h795u5787.png;;text;;;html;bse-z6-neon-track-yarkiy-vybor-dlya-gonok-i-puteshestviy
Ваш универсальный выбор: кроссовый мотоцикл PROGASI Super Max 250 ;Y;24.01.2024;;https://pitland.ru/upload/iblock/05b/zk8v9kt3xeirkcfzsk210dbqu1cuuyci.jpg;;text;;;html;vash-universalnyy-vybor-krossovyy-mototsikl-progasi-super-max-250-
Чем популярен ROCKOT R300 Grey Hawk;Y;24.01.2024;;https://pitland.ru/upload/iblock/7c2/a8yduwf1x1wyclm0g0l3kabt5sm65rq0.jpg;;text;;;html;chem-populyaren-rockot-r300-grey-hawk
Создан для гонок: особенности Progasi Race 300;Y;24.01.2024;;https://pitland.ru/upload/iblock/b67/x6nnurmhpjanqi11aww0vfdoklhxzp8u.jpg;;text;;;html;sozdan-dlya-gonok-osobennosti-progasi-race-300
BSE Z3 Y удивит спортивных характером;Y;24.01.2024;;https://pitland.ru/upload/iblock/70b/am1yhhbjo5zhrx6fsrlepylc21al0ui2.jpg;;text;;;html;bse-z3-y-udivit-sportivnykh-kharakterom
Лучшие питбайки 2023 года с двигателем 125 кубов;Y;24.01.2024;;https://pitland.ru/upload/iblock/aee/3y2fk072q5s1dv787q836al15ggpilwl.jpg;;text;;;html;luchshie-pitbayki-2023-goda-s-dvigatelem-125-kubov
Какие отличия между питбайком и мотоциклом?;Y;24.01.2024;;https://pitland.ru/upload/iblock/93d/6cvw15ob1sjbo90nhrg8dwrzkenytovu.jpg;;text;;;html;kakie-otlichiya-mezhdu-pitbaykom-i-mototsiklom
Важное о новом поколении PROGASI Smart 125;Y;24.01.2024;;https://pitland.ru/upload/iblock/9a8/ju0kwjh1lx2vshn9odywuauyuc67oyck.jpg;;text;;;html;vazhnoe-o-novom-pokolenii-progasi-smart-125
APOLLO RXF Freeride - выбор опытных гонщиков;Y;24.01.2024;;https://pitland.ru/upload/iblock/a37/373xmq9pc5n0fuf8xxpx5qv4a47285uv.jpg;;text;;;html;apollo-rxf-freeride-vybor-opytnykh-gonshchikov
5 советов от PITLAND по выбору наколенников;Y;24.01.2024;;https://pitland.ru/upload/iblock/b5e/hp4v6dtspqup56k69h1e7ahth98fngrx.png;;text;;;html;5-sovetov-ot-pitland-po-vyboru-nakolennikov
Тест-драйв 11 августа;Y;24.01.2024;;https://pitland.ru/upload/iblock/b14/b1451a1b1710b20376b76f1b6cbb2401.jpeg;;text;https://pitland.ru/upload/iblock/a5b/a5bc3b972d6cdccdfc2355763d374bb7.jpg;;html;test-drayv-11-avgusta
Съёмки фильма про питбайки возле ТЦ Формула Х;Y;24.01.2024;;https://pitland.ru/upload/iblock/f94/f943b841d1bcd082ee460ec136809245.jpg;;text;https://pitland.ru/upload/iblock/d25/d25088c32513c33f3f2db62941af0ed3.jpg;;html;syemki-filma-pro-pitbayki-vozle-tts-formula-kh
ВАЛИТЬ МОЖЕТ КАЖДЫЙ!;Y;24.01.2024;;https://pitland.ru/upload/iblock/a69/a695d6cafe8cb8648a855836d90dc493.jpg;;text;;;html;valit-mozhet-kazhdyy
Всех с Новым Годом!;Y;31.12.2018 21:09:00;;https://pitland.ru/upload/iblock/18f/18f09b9ac5b24bf657adcdba777b0680.jpg;;text;;;html;vsekh-s-novym-godom
Большой тест драйв в Питбайкленде!;Y;24.01.2024;;https://pitland.ru/upload/iblock/056/0563b840350d7665210206df6d2fcbfb.jpg;;text;https://pitland.ru/upload/iblock/fd7/fd70fb5700c7200c500f287f95e6596b.jpg;;html;bolshoy-test-drayv-v-pitbayklende
Минимотокросс на питбайках. Взяли первое место. #PBLracingteam;Y;24.01.2024;;https://pitland.ru/upload/iblock/5cc/5cca85305a263135eee1f20f0f0699be.jpg;;text;;;html;vzyali-1oe-mesto-na-minimotokrosse-pblracingteam
МЯСНАЯ зимняя гонка на питбайках на шипах;Y;18.02.2020 15:10:00;;https://pitland.ru/upload/iblock/f60/f607ff80d6c73d955997afb4195dc8ac.jpg;;text;;;html;myasnaya-zimnyaya-gonka-na-pitbaykakh-na-shipakh
ТЕСТ ДРАЙВ ПИТБАЙКОВ НА ВСЕ БАБКИ;Y;13.03.2020 13:51:00;;https://pitland.ru/upload/iblock/55c/55c0ee8e6ec59c9b82da1017f06351bd.jpg;;text;;;html;test-drayv-pitbaykov-na-vse-babki
Наш первый ПИТБАЙК ФРИРАЙД;Y;18.04.2020 16:19:00;;https://pitland.ru/upload/iblock/1a4/1a41387052aa6ac1658bbd1aaa652748.jpg;;text;;;html;nash-pervyy-pitbayk-frirayd
Ушатались на все бабки! Фрирайд на питбайках и эндуро;Y;05.05.2020 12:20:00;;https://pitland.ru/upload/iblock/9ce/9ce8311ab488680c85a6ae1ff534559a.jpeg;;text;;;html;ushatalis-na-vse-babki-frirayd-na-pitbaykakh-i-enduro
"Легендарная Hard Enduro гонка ""Путь Чапая""";Y;24.01.2024;;https://pitland.ru/upload/iblock/144/ddu45867osi1gl2nqdl2v3v1obyeduyj.jpg;;text;https://pitland.ru/upload/iblock/45c/vbde3lto18cjdqd4ffqdbgpdfpczfgj5.jpg;;html;legendarnaya-hard-enduro-gonka-put-chapaya
